id	label	matches
http://linkedsdg.org/concept/fb15aae22802c54f65d345c223d43810	WOMEN MANAGERS	http://metadata.un.org/thesaurus/1007043
http://linkedsdg.org/concept/698572641e5df60899b82020d30c1224	FRESHWATER	http://eurovoc.europa.eu/602;http://metadata.un.org/thesaurus/1002542
http://linkedsdg.org/concept/91a9194f8b90d7acc97ee45f368e7e51	ELECTRIFICATION	http://metadata.un.org/thesaurus/1001957
http://linkedsdg.org/concept/fd969fe7edc13ea1a4e82eb8dc4a53cb	ENVIRONMENTALLY SOUND TECHNOLOGY	http://metadata.un.org/thesaurus/1002093
http://linkedsdg.org/concept/47f79f796cf291bcee5150b921fa7876	DECENT WORK	http://metadata.un.org/thesaurus/1001531
http://linkedsdg.org/concept/43a2d2f9867674f047a27deb57912957	OCCUPATIONAL SAFETY	http://eurovoc.europa.eu/4039;http://metadata.un.org/thesaurus/1004561
http://linkedsdg.org/concept/968df72338825bade943fcc2f554e13f	SCIENTIFIC PERSONNEL	http://metadata.un.org/thesaurus/1005751
http://linkedsdg.org/concept/20cafafaa17b2f9383a7c8fe6afd1e0e	CHILD ABUSE	http://metadata.un.org/thesaurus/1000928
http://linkedsdg.org/concept/ec38a6b7d7f7a8b30429506b5afebd99	ADMINISTRATION OF JUSTICE	http://metadata.un.org/thesaurus/1000049
http://linkedsdg.org/concept/04daf599ffd8c08e07b058bff0d4409c	DETAINED PERSONS	http://metadata.un.org/thesaurus/1001603
http://linkedsdg.org/concept/487ff9f88740f521906beae64a41a0c2	RULE OF LAW	http://eurovoc.europa.eu/5622;http://metadata.un.org/thesaurus/1005619
http://linkedsdg.org/concept/982d4bd7e99ed0c14df5104ee152501b	BRIBERY	http://metadata.un.org/thesaurus/1000693
http://linkedsdg.org/concept/b0660e678637dd6e26c0f99dccb171e7	CORRUPTION	http://eurovoc.europa.eu/245;http://metadata.un.org/thesaurus/1001328
http://linkedsdg.org/concept/957f59fd1c7317a03520a0d59945f9d2	ACCESS TO INFORMATION	http://eurovoc.europa.eu/453;http://metadata.un.org/thesaurus/1000018
http://linkedsdg.org/concept/e64adc6de1adeed992239aac044ef105	LAWS AND REGULATIONS	http://metadata.un.org/thesaurus/1003653
http://linkedsdg.org/concept/ecf277839c2e5662022b422037683bea	LEAST DEVELOPED COUNTRIES	http://metadata.un.org/thesaurus/1003661
http://linkedsdg.org/concept/a36483564d26b8b002f5c52d3fce7382	LANDLOCKED DEVELOPING COUNTRIES	http://metadata.un.org/thesaurus/1003606
http://linkedsdg.org/concept/196e570efe6f1cd678bff86f1856a334	DEVELOPING ISLAND COUNTRIES	http://metadata.un.org/thesaurus/1001614
http://linkedsdg.org/concept/f38e243a50f79bc037d3aee4d5f3b298	CARBON DIOXIDE	http://metadata.un.org/thesaurus/1000817
http://linkedsdg.org/concept/179cc13e0e43dd64107b6efa74adb7e0	GLOBAL WARMING	http://eurovoc.europa.eu/433963;http://metadata.un.org/thesaurus/1002692
http://linkedsdg.org/concept/8bb68260f3b22dfe8280169a8ad184d9	GREENHOUSE GASES	http://metadata.un.org/thesaurus/1002757
