id	label
http://data.un.org/kos/geo/454	Малави
http://data.un.org/kos/geo/454	马拉维
http://data.un.org/kos/geo/454	مالاوي
http://data.un.org/kos/geo/454	Malawi (le)
http://data.un.org/kos/geo/454	Malaui
http://data.un.org/kos/geo/480	Маврикий
http://data.un.org/kos/geo/480	موريشيوس
http://data.un.org/kos/geo/480	毛里求斯
http://data.un.org/kos/geo/480	Mauricio
http://data.un.org/kos/geo/480	Maurice
http://data.un.org/kos/geo/175	مايوت
http://data.un.org/kos/geo/175	Майотта
http://data.un.org/kos/geo/175	马约特
http://data.un.org/kos/geo/508	Мозамбик
http://data.un.org/kos/geo/508	莫桑比克
http://data.un.org/kos/geo/508	موزمبيق
http://data.un.org/kos/geo/508	Mozambique (le)
http://data.un.org/kos/geo/638	Réunion (La)
http://data.un.org/kos/geo/638	留尼汪
http://data.un.org/kos/geo/638	La Réunion
http://data.un.org/kos/geo/638	Reunión
http://data.un.org/kos/geo/638	Реюньон
http://data.un.org/kos/geo/638	لا ريونيون
http://data.un.org/kos/geo/646	Руанда
http://data.un.org/kos/geo/646	رواندا
http://data.un.org/kos/geo/646	卢旺达
http://data.un.org/kos/geo/646	Ruanda
http://data.un.org/kos/geo/646	Rwanda (le)
http://data.un.org/kos/geo/690	Сейшельские Острова
http://data.un.org/kos/geo/690	塞舌尔
http://data.un.org/kos/geo/690	سيشل
http://data.un.org/kos/geo/690	Seychelles (les)
http://data.un.org/kos/geo/706	Сомали
http://data.un.org/kos/geo/706	الصومال
http://data.un.org/kos/geo/706	索马里
http://data.un.org/kos/geo/706	Somalie
http://data.un.org/kos/geo/706	Somalie (la)
http://data.un.org/kos/geo/728	Южный Судан
http://data.un.org/kos/geo/728	جنوب السودان
http://data.un.org/kos/geo/728	南苏丹
http://data.un.org/kos/geo/728	Sudán del Sur
http://data.un.org/kos/geo/728	Soudan du Sud
http://data.un.org/kos/geo/728	Soudan du Sud (le)
http://data.un.org/kos/geo/800	Уганда
http://data.un.org/kos/geo/800	أوغندا
http://data.un.org/kos/geo/800	乌干达
http://data.un.org/kos/geo/800	Ouganda
http://data.un.org/kos/geo/800	Ouganda (l')
http://data.un.org/kos/geo/834	Танзания
http://data.un.org/kos/geo/834	Tanzania
http://data.un.org/kos/geo/834	Tanzanie
http://data.un.org/kos/geo/834	Tanzanie, République-Unie de
http://data.un.org/kos/geo/834	坦桑尼亚
http://data.un.org/kos/geo/834	تنزانيا
http://data.un.org/kos/geo/894	Замбия
http://data.un.org/kos/geo/894	زامبيا
http://data.un.org/kos/geo/894	赞比亚
http://data.un.org/kos/geo/894	Zambie
http://data.un.org/kos/geo/894	Zambie (la)
http://data.un.org/kos/geo/716	Зимбабве
http://data.un.org/kos/geo/716	Zimbabue
http://data.un.org/kos/geo/716	Zimbabwe (le)
http://data.un.org/kos/geo/716	辛巴威
http://data.un.org/kos/geo/716	زيمبابوي
http://data.un.org/kos/geo/24	Ангола
http://data.un.org/kos/geo/24	أنغولا
http://data.un.org/kos/geo/24	安哥拉
http://data.un.org/kos/geo/24	Angola (l')
http://data.un.org/kos/geo/120	Камерун
http://data.un.org/kos/geo/120	الكاميرون
http://data.un.org/kos/geo/120	喀麦隆
http://data.un.org/kos/geo/120	Camerún
http://data.un.org/kos/geo/120	Cameroun
http://data.un.org/kos/geo/120	Cameroun (le)
http://data.un.org/kos/geo/140	Центральноафриканская Республика
http://data.un.org/kos/geo/140	جمهورية أفريقيا الوسطى
http://data.un.org/kos/geo/140	République centrafricaine
http://data.un.org/kos/geo/140	República Centroafricana
http://data.un.org/kos/geo/140	République centrafricaine (la)
http://data.un.org/kos/geo/140	中非共和國
http://data.un.org/kos/geo/148	Чад
http://data.un.org/kos/geo/148	تشاد
http://data.un.org/kos/geo/148	乍得
http://data.un.org/kos/geo/148	Tchad
http://data.un.org/kos/geo/148	Tchad (le)
http://data.un.org/kos/geo/178	Республика Конго
http://data.un.org/kos/geo/178	República del Congo
http://data.un.org/kos/geo/178	Republic of the Congo
http://data.un.org/kos/geo/178	République du Congo
