id,label,source
http://metadata.un.org/thesaurus#1004552,OCCUPATIONAL ACCIDENTS,UNBIS
http://metadata.un.org/thesaurus#1004561,OCCUPATIONAL SAFETY,UNBIS
http://metadata.un.org/thesaurus#1003084,INCOME DISTRIBUTION,UNBIS
http://metadata.un.org/thesaurus#1001531,DECENT WORK,UNBIS
http://metadata.un.org/thesaurus#1006799,UNPAID WORK,UNBIS
http://metadata.un.org/thesaurus#1006915,WAGES,UNBIS
http://metadata.un.org/thesaurus#1004558,OCCUPATIONAL MORTALITY,UNBIS
http://metadata.un.org/thesaurus#1005985,SOCIAL SECURITY,UNBIS
http://metadata.un.org/thesaurus#1003566,LABOUR PRODUCTIVITY,UNBIS
http://metadata.un.org/thesaurus#1002007,EMPLOYMENT,UNBIS
http://metadata.un.org/thesaurus#1007108,YOUTH EMPLOYMENT,UNBIS
http://metadata.un.org/thesaurus#1000066,ADOLESCENTS,UNBIS
http://metadata.un.org/thesaurus#1005845,SEX EDUCATION,UNBIS
http://metadata.un.org/thesaurus#1007110,YOUTH HEALTH,UNBIS
http://metadata.un.org/thesaurus#1000049,ADMINISTRATION OF JUSTICE,UNBIS
http://metadata.un.org/thesaurus#1001603,DETAINED PERSONS,UNBIS
http://metadata.un.org/thesaurus#1002609,GENDER-BASED VIOLENCE,UNBIS
http://metadata.un.org/thesaurus#1006882,VIOLENCE,UNBIS
http://metadata.un.org/thesaurus#1000928,CHILD ABUSE,UNBIS
http://metadata.un.org/thesaurus#1002820,HAZARDOUS WASTES,UNBIS
http://metadata.un.org/thesaurus#1003791,LOCAL GOVERNMENT,UNBIS
http://metadata.un.org/thesaurus#1001375,CRIME,UNBIS
http://metadata.un.org/thesaurus#1002984,HUMAN RIGHTS VIOLATIONS,UNBIS
http://metadata.un.org/thesaurus#1006622,TRAFFICKING IN PERSONS,UNBIS
http://metadata.un.org/thesaurus#1000793,CANCER,UNBIS
http://metadata.un.org/thesaurus#1000825,CARDIOVASCULAR DISEASES,UNBIS
http://metadata.un.org/thesaurus#1005519,RESPIRATORY DISEASES,UNBIS
http://metadata.un.org/thesaurus#1006844,VACCINATION,UNBIS
http://metadata.un.org/thesaurus#1004110,MIGRANTS,UNBIS
http://metadata.un.org/thesaurus#1006948,WATER MANAGEMENT,UNBIS
http://metadata.un.org/thesaurus#1001150,COMMUNITY PARTICIPATION,UNBIS
http://metadata.un.org/thesaurus#060200,AIR TRANSPORT,UNBIS
http://metadata.un.org/thesaurus#1000202,AIR TRANSPORT,UNBIS
http://metadata.un.org/thesaurus#1003838,MAIL,UNBIS
http://metadata.un.org/thesaurus#1001025,CLEANER PRODUCTION,UNBIS
http://metadata.un.org/thesaurus#1006318,SUSTAINABLE CONSUMPTION,UNBIS
http://metadata.un.org/thesaurus#1000309,"ANNOTATIONS, CITATIONS AND COMMENTARIES",UNBIS
http://metadata.un.org/thesaurus#010700,GENERAL AND NATIONAL LAW,UNBIS
http://metadata.un.org/thesaurus#1003650,LAW REPORTS AND DIGESTS,UNBIS
